Item,Quantity,Description,Product line
110,1,Y Carriage Top Left,Printed part
111,1,Y Carriage Top Right,Printed part
112,2,FL-BR_Leg_x2,Printed Part
113,2,Side_Skirt_x2,Printed Part
114,2,FR-BL_Leg_x2,Printed Part
115,1,Back_Skirt,Printed Part
116,1,Plug_Plate,Printed Part
117,4,5010fan_Dummy_x4,Printed Part
118,1,Front_Skirt,Printed Part
119,2,MicroUSB_Insert,Printed Part
120,4,5010fan_Grill_x4,Printed Part
121,1,EMS_Grill,Printed Part
122,1,FT-EMS_Foot,Printed Part
123,1,MHC Mount Left,Printed Part
124,1,MHC Mount Right,Printed Part
125,4,Base_Bin,Printed Part
126,4,Base_Bin_Main,Printed Part
127,4,Base_Mount_Plate,Printed Part
128,4,Base_Mount_Main,Printed Part
129,4,Nozzle_Close,Printed Part
130,4,Brush_Mount,Printed Part
131,4,Hotend_Mirrored_Bushings_x4,Printed Part
132,1,MGN9H_Mount_Cutout,Printed Part
133,1,MGN9H_Mount_Eddy,Printed Part
134,1,Extruder_Main,Printed Part
135,1,Feeder_Body_1,Printed Part
136,1,Feeder_Lever_2,Printed Part
137,1,M90S_Opener,Printed Part
138,1,Feeder_Lever_2,Printed Part
139,1,Servo_Mount,Printed Part
140,1,Feeder_Body_2,Printed Part
141,1,Feeder_Opener,Printed Part
142,1,Feeder_Lever_Main,Printed Part
143,1,Feeder_Small_Cover,Printed Part
144,1,HDMI5_Base,Printed Part
145,1,HDMI5_Support,Printed Part
146,1,HDMI5_Frame,Printed Part
